Venue Name,Venue Location,Price per Plate
Sardar Patel Baug,"Vile Parle, Mumbai","1,150"
Rajpuria Baug,"Vile Parle, Mumbai",600
Deshastha Rugvedi Brahman Sangh Hall,"Vile Parle, Mumbai",750 - 850
Sahara Star,"Vile Parle, Mumbai",2800 - 2800
Quarter Pillar,"Vile Parle, Mumbai",800 - 900
Chatwani Baug,"Vile Parle, Mumbai",450
Shri Vile Parle Patidar Mandal,"Vile Parle, Mumbai",800
Hotel Airlink Hall,"Vile Parle, Mumbai",850 - 1050
Nimantran Restaurant Hall,"Vile Parle, Mumbai",450 - 550
Utkarsha Mandal Hall,"Vile Parle, Mumbai","25,000"
Chamunda Paradise Banquet Hall,"Vile Parle, Mumbai","45,000"
Aquafire Mini Hall,"Vile Parle, Mumbai","35,000"
