Venue Name,Venue Location,Price per Plate
Vettri Krishnan Mahal,"West Mambalam, Chennai","2,25,000"
Sri Moogambikai Hall,"West Mambalam, Chennai",450
Sri Kumaran Anugraha,"West Mambalam, Chennai","1,25,000"
Shyamala hall,"West Mambalam, Chennai","2,25,000"
Chandrasekar Kalyana Mandapam,"West Mambalam, Chennai","1,47,500"
New MR Mahal,"West Mambalam, Chennai","1,40,000"
Sundeep Hall,"West Mambalam, Chennai","69,000"
Bharathi Ram Kalyana Mandapam,"West Mambalam, Chennai","50,000"
Anand Chandrasekhar Hall,"West Mambalam, Chennai","25,000"
VMA Ac Hall,"West Mambalam, Chennai","36,000"
VKM Mahal,"West Mambalam, Chennai","2,36,000"
