Venue Name,Venue Location,Price per Plate
Sri Ranga Kalyanotsava Convention Hall,"Yelahanka, Bangalore","5,50,000"
Madhura Milana Convention Hall,"Yelahanka, Bangalore","7,05,000"
Akshaya Party Hall,"Yelahanka, Bangalore",399 - 499
Verda Prakyathi Party Hall,"Yelahanka, Bangalore",682 - 787
Royal Orchid Arena 3 Banquet Hall,"Yelahanka, Bangalore",1155 - 1200
Bhagini Banquet Hall,"Yelahanka, Bangalore",450 - 550
Nandas Grand Party Hall,"Yelahanka, Bangalore",450 - 450
MM Party And Banquet Hall 1,"Yelahanka, Bangalore",45000 - 45000
Silver Oak Resort,"Yelahanka, Bangalore",818 - 1218
Gokul Party Hall,"Yelahanka, Bangalore",320 - 320
Anantha Mini Function Hall,"Yelahanka, Bangalore",700 - 950
The Verda Prakyathi,"Yelahanka, Bangalore",800 - 1000
Ramanashree California Resort Lawn,"Yelahanka, Bangalore",900 - 1200
Dakshina Kannada Vishwa Brahmana Sangha,"Yelahanka, Bangalore",900
DKV Sangha Party Hall,"Yelahanka, Bangalore","16,000"
Sree Party Hall,"Yelahanka, Bangalore",350 - 350
Tirumala Samudaya Bhavana,"Yelahanka, Bangalore",44000 - 44000
Savandurga Valley Farm Retreat,"Yelahanka, Bangalore",600 - 800
Ramanashree California Resort,"Yelahanka, Bangalore","1,92,000"
EBISU Open Lawn,"Yelahanka, Bangalore","3,72,000"
KB Convention Hall,"Yelahanka, Bangalore",650 - 850
Amogha Mini Hall,"Yelahanka, Bangalore",400 - 600
VK Convention Center,"Yelahanka, Bangalore","5,61,000"
Sri Chowdeshari Kalyana Mantapa Hall,"Yelahanka, Bangalore",450
