Artist Name,Artist Location,Price
Wakeup n Makeup with Kimi,"Dammaiguda, Hyderabad","10,000"
Makeup by Dimple Mehra,"Kalkaji, Delhi Ncr","19,999"
Forever Glam By Prisha,"Kalkaji, Delhi Ncr","18,000"
Makeup By Preeti Rawal,"Kalkaji, Delhi Ncr","10,000"
Nikita Gaur Makeovers,"Kalkaji, Delhi Ncr","20,000"
SAMAIRA SANDHU MAKEUP,"Kalkaji, Delhi Ncr","20,000"
Poonam Chanrabhan Makeovers,"Kalkaji, Delhi Ncr","11,000"
Makeup Mantra by Pooja Paliwal,"Kalkaji, Delhi Ncr","15,000"
Instinct Unisex Salon,"Kalkaji, Delhi Ncr","8,000"
Makeover By Shweta Kapoor Bhola,"Kalkaji, Delhi Ncr","30,000"
Jot Makeovers,"Kalkaji, Delhi Ncr","15,000"
Makeovers by Kanika & Manika,"Kalkaji, Delhi Ncr","15,000"
Makeup By Mehak,"Kalkaji, Delhi Ncr","12,000"
Facestories by Kikka,"Kalkaji, Delhi Ncr","20,000"
Makeovers by Noor,"Kalkaji, Delhi Ncr","15,000"
"Sia Makeovers, Hair & MakeUp Studio","Kalkaji, Delhi Ncr","13,999"
SNS Unisex Salon,"Kalkaji, Delhi Ncr","8,000"
Zara Makeover,"Kalkaji, Delhi Ncr","15,000"
Sonakshi Makeover,"Kalkaji, Delhi Ncr","20,000"
Blushers by Piyusha,"Kalkaji, Delhi Ncr","10,000"
Versatile Studio,"Kalkaji, Delhi Ncr","15,000"
Pooja Mishra Makeup Artist,"Kalkaji, Delhi Ncr","6,000"
La Pearls Unisex Salon,"Kalkaji, Delhi Ncr","15,000"
Makeupbysangeetasehrawat,"Kalkaji, Delhi Ncr","22,000"
Rak's Salon,"Madhu Vihar, Delhi Ncr","15,000"
Annu Makeovers,"Madhu Vihar, Delhi Ncr","10,000"
Makeup by Viji Sharath,"Mahalingapuram, Chennai","25,000"
Makeover by Nupur Girdhar,"Rohtak, Delhi Ncr","20,000"
Makeup artist Anjali,"Rohtak, Delhi Ncr","3,000"
