Artist Name,Artist Location,Price
Lovely by Makeup Artist,"Alaknanda, Delhi","14,000"
Nandani Beauty Parlour,"Alaknanda, Delhi","10,000"
Roshni Makeover Studio,"Alaknanda, Delhi","10,000"
Shruti Makeup Artist Official,"Alaknanda, Delhi","20,000"
Makeovers By Sushmita,"Alaknanda, Delhi","15,000"
New Look Makeovers,"Alaknanda, Delhi","10,000"
Ishika Makeup Artist,"Alaknanda, Delhi","8,000"
Neha Makeovers,"Alaknanda, Delhi","16,000"
Beauty and Blush by Nehamittal,"Alaknanda, Delhi","10,000"
Nikita Beauty Room,"Alaknanda, Delhi","15,000"
Makeovers By Fatima,"Alaknanda, Delhi","8,000"
Soniya Makeup Artist,"Alaknanda, Delhi","10,000"
The Perfect Makeover,"Alaknanda, Delhi","10,000"
Veena Makeup Artist,"Alaknanda, Delhi","10,000"
Miss Magic,"Alaknanda, Delhi","8,000"
Makeover by GP,"Alaknanda, Delhi","10,000"
AS Beauty,"Alaknanda, Delhi","25,000"
Shweta Gehlot Makeup Studio,"Alaknanda, Delhi","15,000"
Glamup By Aisha,"Alaknanda, Delhi","10,000"
