Artist Name,Artist Location,Price
Puja Edake Makeup Artist,"Alandi Devachi, Pune","8,000"
Ashdas Beauty Salon and Makeup Studio,"Alandi Devachi, Pune","12,000"
Sayli Choudhari Makeup,"Alandi Devachi, Pune","5,000"
Anisha Reauty Care,"Alandi Devachi, Pune","5,000"
Sonal Choudhari Makeup,"Alandi Devachi, Pune","6,000"
Makeover Jayshree Lande,"Alandi Devachi, Pune","15,000"
Shraddha Makeup,"Alandi Devachi, Pune","8,000"
Kavya Makeup Artist,"Alandi Devachi, Pune","10,000"
Shivani Swami Makeup Artist,"Alandi Devachi, Pune","5,000"
Makeup Artist Sakshi Atale,"Alandi Devachi, Pune","10,000"
Akshada Awari Makeover,"Alandi Devachi, Pune","7,000"
Priya Babar Makeup Artist,"Alandi Devachi, Pune","8,000"
Sapna Makeupartistry,"Alandi Devachi, Pune","15,000"
Ishan Beauty Parlour,"Alandi Devachi, Pune","10,000"
Lavanya Makeover,"Alandi Devachi, Pune","10,000"
Rutu Makeover,"Alandi Devachi, Pune","8,000"
Rey Unisex Salon,"Alandi Devachi, Pune","5,000"
Komaltamhane Makeup Artist,"Alandi Devachi, Pune","5,000"
Deepali Shinde Makeup Artist,"Alandi Devachi, Pune","10,000"
Divya Thorave Makeup Artist,"Alandi Devachi, Pune","7,000"
Arpita Kudale Makeup Artist,"Alandi Devachi, Pune","8,000"
Vrushali Darekar Makeup Artist,"Alandi Devachi, Pune","15,000"
Makeup Artist Aishwarya Shelar,"Alandi Devachi, Pune","10,000"
Vaishali Panchal Makeovers,"Alandi Devachi, Pune","5,000"
