Artist Name,Artist Location,Price
Krishna Makeover,"Alwal, Hyderabad","7,000"
Vinusha Makeover Artistry,"Alwal, Hyderabad","18,000"
Veenas Makeup Studio,"Alwal, Hyderabad","6,000"
Priya Makeover Artistry,"Alwal, Hyderabad","6,999"
Jainam Makeover,"Alwal, Hyderabad","11,000"
Roshni Makeover Artist,"Alwal, Hyderabad","10,000"
Ammu Makeovers,"Alwal, Hyderabad","5,000"
Minty Deshbhratar Makeup Artist,"Alwal, Hyderabad","10,000"
Saritha Reddy Makeover,"Alwal, Hyderabad","15,000"
Ramareddy Makeup Artist,"Alwal, Hyderabad","10,000"
Swapna Reddy Makeup Artist,"Alwal, Hyderabad","10,000"
Swapna Makeup Artistry,"Alwal, Hyderabad","15,000"
Gauthamiharsha Makeup Artistry,"Alwal, Hyderabad","15,000"
Geethakamble Makeup Artist,"Alwal, Hyderabad","12,000"
Veena Makeup Artist,"Alwal, Hyderabad","10,000"
Utpi makeup studio,"Alwal, Hyderabad","5,000"
