Artist Name,Artist Location,Price
Vandana Kale Makeup Artist,"Ambethan, Pune","2,000"
Shweta Makeover,"Ambethan, Pune","6,000"
Aditi Makeover,"Ambethan, Pune","7,000"
Aksh Professional Makeup,"Ambethan, Pune","5,000"
Makeup Artist Rutuja Pute,"Ambethan, Pune","10,000"
Rupali Pawar Makeup Artist,"Ambethan, Pune","5,000"
Glory Makeup Artist,"Ambethan, Pune","15,000"
Prachi Shinde Makeovers,"Ambethan, Pune","7,000"
Sampadawalunj Makeover,"Ambethan, Pune","15,000"
Neela Kalambe Makeup Artist,"Ambethan, Pune","6,000"
Poonam Dahiwal Makeup Artist,"Ambethan, Pune","10,000"
Anita Gulkar Makeovers,"Ambethan, Pune","10,000"
Ragini Birdawade Makeupartist,"Ambethan, Pune","5,000"
Chaitali Makeover,"Ambethan, Pune","7,000"
Vaishu Mekup Artist,"Ambethan, Pune","7,000"
Pranoti Shevkari Makeovers,"Ambethan, Pune","8,000"
Simran Makeover,"Ambethan, Pune","5,000"
Anu Makup Artist,"Ambethan, Pune","20,000"
Aruna Pawale Makeovers,"Ambethan, Pune","5,000"
Kajal Makeover,"Ambethan, Pune","6,500"
Pratiksha Kurhade Makeovers,"Ambethan, Pune","10,000"
Makeupartist Rash,"Ambethan, Pune","5,000"
Aachal Makeover,"Ambethan, Pune","9,000"
Tejashri Makeover,"Ambethan, Pune","5,000"
