Artist Name,Artist Location,Price
Bridal Beauty Diaries,"Andheri East, Mumbai","10,000"
Megha Darekar Makeovers,"Andheri East, Mumbai","20,000"
Meena bhanushali Makeup Artist,"Andheri East, Mumbai","6,000"
Face Stories By Aafreen Nagori,"Andheri East, Mumbai","12,000"
Sakshi Makeup Artist,"Andheri East, Mumbai","15,000"
Contour By Bhavika Gala,"Andheri East, Mumbai","15,000"
Sampadas Makeover,"Andheri East, Mumbai","15,000"
Suhane Makeup Artist n Studio,"Andheri East, Mumbai","20,000"
Rasi the Zodia Spa & Salon,"Andheri East, Mumbai","15,000"
Madhavi Makeovers,"Andheri East, Mumbai","10,000"
Pari Makeovers,"Andheri East, Mumbai","12,000"
Absolute Beauty Salon,"Andheri East, Mumbai","15,000"
Tarunya,"Andheri East, Mumbai","15,000"
Angel Beauty,"Andheri East, Mumbai","8,999"
Preet Makeover,"Andheri East, Mumbai","9,000"
HJ Makeup and Hairstylist,"Andheri East, Mumbai","9,000"
Lady Moments by Sneha & Pooja,"Andheri East, Mumbai","10,000"
Makeovers by Archana,"Andheri East, Mumbai","10,000"
Kruti Mua,"Andheri East, Mumbai","5,000"
Vruti & Yashvi Bridal Makeovers,"Andheri East, Mumbai","15,000"
Glamm by Naima,"Andheri East, Mumbai","10,000"
Swapna Gaonkar MUA,"Andheri East, Mumbai","10,000"
Yes Ma’am Salon,"Andheri East, Mumbai","10,000"
Sarika Professional Makeup Artist,"Andheri East, Mumbai","10,000"
