Artist Name,Artist Location,Price
Preeti Thukral Makeup Artistry,"Ashok Vihar, Delhi","25,000"
Shades by Sanya,"Ashok Vihar, Delhi","15,000"
Anusha Malhotra Makeup Artist,"Ashok Vihar, Delhi","15,000"
Amreen Makeup Artist,"Ashok Vihar, Delhi","2,500"
Annu Makeup Artist,"Ashok Vihar, Delhi","4,000"
Ridhi Kapoor,"Ashok Vihar, Delhi","11,000"
Makeup and Hair by Uru,"Ashok Vihar, Delhi","10,000"
Strokes by Shikha,"Ashok Vihar, Delhi","10,000"
Makeover By Shilpy,"Ashok Vihar, Delhi","8,000"
Poonam gulati makeovers,"Ashok Vihar, Delhi","15,000"
Damini Makeover,"Ashok Vihar, Delhi","25,000"
Neha Saini Makeovers,"Ashok Vihar, Delhi","15,000"
Radhikas Beauty Den,"Ashok Vihar, Delhi","15,000"
Makeover by Aaliya And Barber,"Ashok Vihar, Delhi","20,000"
Mehak Makeovers,"Ashok Vihar, Delhi","15,000"
Anita Makeup Artist,"Ashok Vihar, Delhi","10,000"
Saloni Kumari Makeup Artist,"Ashok Vihar, Delhi","10,000"
New Shape In Style,"Ashok Vihar, Delhi","15,000"
Anita Makeover 27,"Ashok Vihar, Delhi","6,000"
Soniya Abbasi Makeover,"Ashok Vihar, Delhi","25,000"
Makeover By Sakshisharma,"Ashok Vihar, Delhi","12,000"
Ekta Bisht Makeover,"Ashok Vihar, Delhi","12,000"
Nancy Makeover,"Ashok Vihar, Delhi","12,000"
