Artist Name,Artist Location,Price
Manasayadav Bridal Studio,"Ashtapur, Pune","5,000"
Makeup Artist Ankita,"Ashtapur, Pune","13,000"
Sonal Udawant Makeup Artist,"Ashtapur, Pune","7,000"
Aakanksha Makeovers,"Ashtapur, Pune","7,000"
Priya Beauty Hubb,"Ashtapur, Pune","10,000"
Rani Satav Makeovers,"Ashtapur, Pune","5,000"
Makeover Manju Bhosale,"Ashtapur, Pune","8,000"
Sanika Sase Makeovers,"Ashtapur, Pune","15,000"
Sneha Jadhav Makeup Artist,"Ashtapur, Pune","7,000"
Seema Kotwal Makeovers,"Ashtapur, Pune","10,000"
Smita Makeovers,"Ashtapur, Pune","8,000"
Shurti Beauty Studio,"Ashtapur, Pune","7,000"
Lalita Makeover,"Ashtapur, Pune","15,000"
Priti Makeup Artist,"Ashtapur, Pune","2,000"
Sakshi Nawale Makeover,"Ashtapur, Pune","15,000"
Enhance Beauty Parlour,"Ashtapur, Pune","10,000"
Megha Makeovers,"Ashtapur, Pune","7,000"
Alpana Gavhane Makeovers,"Ashtapur, Pune","20,000"
Dhanshree Patil Makeovers,"Ashtapur, Pune","8,000"
Makeover With Amrapali,"Ashtapur, Pune","25,000"
Anita Makeover,"Ashtapur, Pune","15,000"
Aaradhya Makeup And Hair Artist,"Ashtapur, Pune","7,000"
