Artist Name,Artist Location,Price
Abhi Makeup Studio,"Attapur, Hyderabad","8,000"
Sakshi Makeup Artistry,"Attapur, Hyderabad","12,000"
Makeup by Pragathi,"Attapur, Hyderabad","12,000"
Looking Lush,"Attapur, Hyderabad","8,000"
Miracle World of Beauty,"Attapur, Hyderabad","10,000"
Siri Chandu Makeup Artist,"Attapur, Hyderabad","15,000"
Khushi Agarwal Makeup,"Attapur, Hyderabad","20,000"
Glamup by Aniki,"Attapur, Hyderabad","15,000"
Hanish Family Salon,"Attapur, Hyderabad","15,000"
Wow Bridal Studio,"Attapur, Hyderabad","12,000"
Mamta Makeup Artist,"Attapur, Hyderabad","10,000"
Neha Makeovers,"Attapur, Hyderabad","15,000"
Archana Makeup Artist,"Attapur, Hyderabad","10,000"
D Elegance Beauty Saloon,"Attapur, Hyderabad","10,000"
RS Bridal Makeup Studio,"Attapur, Hyderabad","15,000"
