Artist Name,Artist Location,Price
Aghasya Makeovers,"Bachupally, Hyderabad","7,000"
Ramya shankar,"Bachupally, Hyderabad","8,000"
Sandhya Makeup Artist,"Bachupally, Hyderabad","6,000"
Saritha Make-Up Artist,"Bachupally, Hyderabad","10,000"
Emerald,"Bachupally, Hyderabad","8,000"
Lashu Makeovers,"Bachupally, Hyderabad","10,000"
Sravani Makeover Artistry,"Bachupally, Hyderabad","10,000"
Mounika Makeovers,"Bachupally, Hyderabad","10,000"
Dreamy Makeup Artist,"Bachupally, Hyderabad","15,000"
Sameena Makeover Artist,"Bachupally, Hyderabad","18,000"
Mahati Plush,"Bachupally, Hyderabad","3,500"
Sreelu Hair and Makeup,"Bachupally, Hyderabad","10,000"
SS Makeovers,"Bachupally, Hyderabad","10,000"
Pooja Makeup Artistry,"Bachupally, Hyderabad","15,000"
Makeup Artist By Haneesha,"Bachupally, Hyderabad","12,000"
Kris Makeover,"Bachupally, Hyderabad","5,000"
Go With The Glow,"Bachupally, Hyderabad","15,000"
