Artist Name,Artist Location,Price
Shreya borkar makeup and hair artist,"Bandra, Mumbai","10,000"
Devika Thapa Mua,"Bandra, Mumbai","15,000"
Tanu Studio,"Bandra, Mumbai","20,000"
Debby Chakraborty,"Bandra, Mumbai","20,000"
Makeovers By Mukta,"Bandra, Mumbai","25,000"
Makeover by Madiha Aqeeb,"Bandra, Mumbai","10,000"
Versatile Makeovers Artist,"Bandra, Mumbai","20,000"
Binal Gada Makeovers,"Bandra, Mumbai","15,000"
Sheetal Kanthariya Makeover,"Bandra, Mumbai","15,000"
Asma Makeup Artist,"Bandra, Mumbai","5,000"
Msaba Makeover,"Bandra, Mumbai","5,000"
Farheens Makeover,"Bandra, Mumbai","10,000"
Forum Parekh Makeover,"Bandra, Mumbai","10,000"
Own Makeup Artist,"Bandra, Mumbai","5,000"
Glam Look by Masira khan,"Bandra, Mumbai","4,500"
Shraddhas Makeover,"Bandra, Mumbai","15,000"
Makeup by Mehz,"Bandra, Mumbai","20,000"
Hair Make Up By Nandini,"Bandra, Mumbai","2,000"
Seema's Bridal World,"Bandra, Mumbai","12,000"
Silky Makeup and Hair,"Bandra, Mumbai","7,000"
Maya Chavan Makeup,"Bandra, Mumbai","10,000"
Surekha Beauty Mantra,"Bandra, Mumbai","5,000"
SK Beauty Salon,"Bandra, Mumbai","15,000"
