Artist Name,Artist Location,Price
Juweria Shaikh Makeup,"Bandra West, Mumbai","13,000"
Beauty By Sevy,"Bandra West, Mumbai","15,000"
The Lipstick Diary,"Bandra West, Mumbai","25,000"
Glamstagram,"Bandra West, Mumbai","8,000"
Aarti Funkenstein,"Bandra West, Mumbai","10,000"
Maithili Gosav Makeovers,"Bandra West, Mumbai","10,000"
Kanchan Beauty,"Bandra West, Mumbai","10,000"
Makeup Zone,"Bandra West, Mumbai","5,000"
Makeover by Farin Shaikh,"Bandra West, Mumbai","5,000"
Makeup by Afreen,"Bandra West, Mumbai","22,000"
Nikhita Ferreira- Hair & Makeup Artist,"Bandra West, Mumbai","10,000"
Anshika Makeover,"Bandra West, Mumbai","14,000"
Shweta Makeover,"Bandra West, Mumbai","20,000"
Sonukhaire Mua,"Bandra West, Mumbai","7,800"
Makeover By Deepti Soste,"Bandra West, Mumbai","10,000"
Yusra Makeup Artist,"Bandra West, Mumbai",500
Erum Makeover,"Bandra West, Mumbai","12,000"
Rupali Anshul Shrivas Makeup Artist,"Bandra West, Mumbai","10,000"
Ujwala Makeup Artist,"Bandra West, Mumbai","15,000"
Roshani Makeup Art,"Bandra West, Mumbai","15,000"
Makeover by Sofiya,"Bandra West, Mumbai","10,000"
Sakshi Chavan Makeup Artist,"Bandra West, Mumbai","20,000"
Krishna Kami Makeovers,"Bandra West, Mumbai","60,000"
