Artist Name,Artist Location,Price
Classic Curves Makeup and Hair,"Basavanagudi, Bangalore","9,999"
Artistry by Rabiya Khan,"Basavanagudi, Bangalore","3,499"
Deepajay Bridal Makeover,"Basavanagudi, Bangalore","8,000"
Makeover by Saniarifath,"Basavanagudi, Bangalore","8,000"
Miracle Unisex Salon & Spa,"Basavanagudi, Bangalore","8,000"
Riya Makeover,"Basavanagudi, Bangalore","12,000"
Samreen Fathima Makeup Artist,"Basavanagudi, Bangalore","20,000"
Makeove by Anitha,"Basavanagudi, Bangalore","5,000"
Lagna Makeup Artist,"Basavanagudi, Bangalore","8,000"
Angelite Makeup Artist,"Basavanagudi, Bangalore","7,000"
Pooja Durgani Makeup Artist,"Basavanagudi, Bangalore","7,000"
Makeup By Diyaraysoni,"Basavanagudi, Bangalore","7,000"
Makeover by Shubhangikolkar,"Basavanagudi, Bangalore","10,000"
Shwetha Makeover,"Basavanagudi, Bangalore","15,000"
