Artist Name,Artist Location,Price
Bhavya gowda Makeover,"Bengaluru, Bangalore","15,000"
Rajeshwari Makeover,"Bengaluru, Bangalore","15,000"
Leena's Bridal Makeovers,"Bengaluru, Bangalore","5,000"
Makeup By Vinuta,"Bengaluru, Bangalore","15,000"
Lubna Sheik Face Artisty Mua,"Bengaluru, Bangalore","15,000"
Kaya Makeup artist,"Bengaluru, Bangalore","10,000"
Makeovers by Chaitra,"Bengaluru, Bangalore","8,000"
Husnazuby Makeovers,"Bengaluru, Bangalore","9,000"
Makeup Artist Debolina,"Bengaluru, Bangalore","10,000"
Be In Studio,"Bengaluru, Bangalore","8,000"
Makeover by Sowmya Gowda,"Bengaluru, Bangalore","15,000"
Sara Makeup Artist,"Bengaluru, Bangalore","15,000"
Makeup by Smita,"Bengaluru, Bangalore","8,000"
Makeup by Sunitha Srikedyam,"Bengaluru, Bangalore","20,000"
Makeover by Swapna Gowda,"Bengaluru, Bangalore","16,000"
Ma,"Bengaluru, Bangalore","10,000"
Shringar Bridal Artist,"Bengaluru, Bangalore","5,999"
Makeover by Sujatha,"Bengaluru, Bangalore","25,000"
AL KOHINOOR Makeup Studio,"Bengaluru, Bangalore","10,000"
Makeup and Hair By Shwetha Maroli,"Bengaluru, Bangalore","12,000"
Makeovers by Akshatha Prasad,"Bengaluru, Bangalore","12,000"
Makeover By Shylaja,"Bengaluru, Bangalore","20,000"
inspire makeovers,"Bengaluru, Bangalore","10,000"
Golden Rich Salon,"Bengaluru, Bangalore","12,000"
