Artist Name,Artist Location,Price
Makeup by Niru Kumawat,"Bhatane, Mumbai","2,500"
Ishika Makeover,"Bhatane, Mumbai","7,000"
Madhuras Makeover,"Bhatane, Mumbai","10,000"
Alpa Dangodra MUA,"Bhatane, Mumbai","10,000"
Neelam Naik Makeup Artist,"Bhatane, Mumbai","12,000"
Divya Parmar Makeover,"Bhatane, Mumbai","7,000"
Karishma Makeover,"Bhatane, Mumbai","6,000"
Pranalee Makeup and Hair,"Bhatane, Mumbai","11,999"
Pragati Ambekar Makeovers,"Bhatane, Mumbai","20,000"
Makeover by Shivani,"Bhatane, Mumbai","15,000"
Priyanka Makeovers,"Bhatane, Mumbai","10,000"
