Artist Name,Artist Location,Price
Rupali Bibave Makeover,"Bibvewadi, Pune","5,000"
Shivanipardeshi Makeup Artistry,"Bibvewadi, Pune","5,000"
Shruti Makeover,"Bibvewadi, Pune","7,500"
Vidya Artistry,"Bibvewadi, Pune","7,000"
Ayesha Makeup Artist,"Bibvewadi, Pune","3,000"
Priya Makeovers,"Bibvewadi, Pune","8,000"
Savita Makeovers,"Bibvewadi, Pune","10,000"
Ramani Beauty Makeup Studio,"Bibvewadi, Pune","10,000"
Rani Beauty Makeover,"Bibvewadi, Pune","8,000"
Salokhe Makeovers,"Bibvewadi, Pune","5,000"
Ts Makeup Studio,"Bibvewadi, Pune","15,000"
Anandi Makeovers,"Bibvewadi, Pune","5,000"
Rk Makeup Studio,"Bibvewadi, Pune","7,000"
Anju Makeover,"Bibvewadi, Pune","15,000"
Yogini Kalokhe Makeover,"Bibvewadi, Pune","5,000"
Sapnnaa Makeover,"Bibvewadi, Pune","8,000"
Pranita Paygude Makeup Artist,"Bibvewadi, Pune","15,000"
Smart Look Beauty Salon,"Bibvewadi, Pune","10,000"
Kalyani Makeup,"Bibvewadi, Pune","4,000"
Snehal Makeover,"Bibvewadi, Pune","7,000"
Supriya Makeovers,"Bibvewadi, Pune","15,000"
Jaya Makeover,"Bibvewadi, Pune","25,000"
SB Makeup Studio,"Bibvewadi, Pune","10,000"
Rati Beauty Parlour,"Bibvewadi, Pune","5,000"
