Artist Name,Artist Location,Price
Blossom Makeover by Pooja Kumar,"Burari, Delhi","15,000"
Tisha Kashyap Makeover,"Burari, Delhi","15,000"
Niharika Parlour,"Burari, Delhi","5,000"
Shine by Divya & Ritika,"Burari, Delhi","7,000"
Makeup art by Sandhya Mishra,"Burari, Delhi","12,000"
Glitz and Glam,"Burari, Delhi","7,000"
Makeup By Neha Negi,"Burari, Delhi","15,000"
Shalu Malhotra Makeup Artist,"Burari, Delhi","10,000"
Lavina Hair And Makeup Artist,"Burari, Delhi","10,000"
Aashish Mehra Makeovers,"Burari, Delhi","18,000"
Kanchan Kaya,"Burari, Delhi","10,000"
Poonam Pandey Makeup Artist,"Burari, Delhi","15,000"
Kalyani Makeup Studio,"Burari, Delhi","10,000"
Barbie Mirror Salon,"Burari, Delhi","10,000"
Ruby Soni Mua,"Burari, Delhi","20,000"
Itz New Look Makeover,"Burari, Delhi","15,000"
Makeovers Ishadayal,"Burari, Delhi","18,000"
Shivani Makeup Artist,"Burari, Delhi","6,000"
Sanu Pathak Makeovers,"Burari, Delhi","10,000"
Elegant Touch By Shivi,"Burari, Delhi","8,000"
Allure Mua,"Burari, Delhi","10,000"
Brushed by Preeti,"Burari, Delhi","15,000"
Makeup By Riya Tyagi,"Burari, Delhi","12,000"
Disha Makeup and Hair Artist,"Burari, Delhi","7,000"
