Artist Name,Artist Location,Price
Monika R Nanavre Makeover,"Chandoli Bk, Pune","20,000"
Kavyanjali Makeover,"Chandoli Bk, Pune","5,000"
Nighot Pranali Makeovers,"Chandoli Bk, Pune","5,000"
Sarita Shinde Makeup Artist,"Chandoli Bk, Pune","10,000"
Aishwarya Londhe Makeup Artist,"Chandoli Bk, Pune","15,000"
Shewale Pournima Makeovers,"Chandoli Bk, Pune","15,000"
Jyoti Makeovers,"Chandoli Bk, Pune","10,000"
Kaya Beauty Parlour,"Chandoli Bk, Pune","10,000"
Sunita Erende Makeup Artist,"Chandoli Bk, Pune","15,000"
Maya Kale Makeup Artis,"Chandoli Bk, Pune","15,000"
