Artist Name,Artist Location,Price
Anju Makeovers,"Chattarpur, Delhi","8,000"
Shruti Sharma Bridal Makeup,"Chattarpur, Delhi","40,000"
Flaunt,"Chattarpur, Delhi","15,000"
Pari Deewan Makeovers,"Chattarpur, Delhi","15,000"
Beautiful Faces Makeovers,"Chattarpur, Delhi","15,000"
Komal Parewa Makeup and Hair Artist,"Chattarpur, Delhi","25,000"
Kainoosh Salon,"Chattarpur, Delhi","12,500"
Innovate Makeovers,"Chattarpur, Delhi","25,000"
Anita Makeup Artist,"Chattarpur, Delhi","10,000"
Kiran Makeup Artist,"Chattarpur, Delhi","15,000"
