Artist Name,Artist Location,Price
Shilpa Makeup Artist,"Dharavi, Mumbai","15,000"
Hk Makeovers and Academy,"Dharavi, Mumbai","18,000"
Mua Yogita Jadhav 143,"Dharavi, Mumbai","10,000"
Bombay Bride Mua,"Dharavi, Mumbai","15,000"
Ankita Makeup and Hair,"Dharavi, Mumbai","10,000"
Nikag Makeover,"Dharavi, Mumbai","12,000"
Makeover by Prache,"Dharavi, Mumbai","17,000"
Waseem Bano Bridal Makeup Artist,"Dharavi, Mumbai","10,000"
Kinjal Chheda,"Dharavi, Mumbai","12,500"
Kusum Makeover,"Dharavi, Mumbai","4,500"
Ashu Koli Makeovers,"Dharavi, Mumbai","20,000"
