Artist Name,Artist Location,Price
Enhance Your Beauty,"Goregaon, Mumbai","18,000"
Jasud Beauty Care,"Goregaon, Mumbai","10,000"
Ritu's Blusher,"Goregaon, Mumbai","25,000"
Makeover by Pragati,"Goregaon, Mumbai","6,000"
Makeup by Rehana,"Goregaon, Mumbai","10,000"
Trio Salon,"Goregaon, Mumbai","15,000"
Shravanis Seauty Salon,"Goregaon, Mumbai","10,000"
Makeover by Rukhsar,"Goregaon, Mumbai","7,000"
Makeup Artist Shana,"Goregaon, Mumbai","10,000"
Nilima SS Makeover,"Goregaon, Mumbai","18,000"
