Artist Name,Artist Location,Price
Vaisshali Jain Makeovers,"Goregaon West, Mumbai","15,000"
Tehseen Makeovers,"Goregaon West, Mumbai","10,000"
Make Up By Swati,"Goregaon West, Mumbai","10,000"
Hirsha Artistry,"Goregaon West, Mumbai","7,000"
The Glam Creation by Komal Kothari,"Goregaon West, Mumbai","15,000"
Makeup by Vidya,"Goregaon West, Mumbai","9,000"
Suman Singh Makeup Artist,"Goregaon West, Mumbai","20,000"
Ashok Chandra Makeup Artist,"Goregaon West, Mumbai","15,000"
Farazana Beauty Care,"Goregaon West, Mumbai","6,000"
Flush of Glam,"Goregaon West, Mumbai","15,000"
Lift Makeup Studio,"Goregaon West, Mumbai","10,000"
Harshini Shah Hair Stylish & Makeup Artist,"Goregaon West, Mumbai","3,500"
Preeti Jaiswal Makeup Artist,"Goregaon West, Mumbai","8,000"
Makeovers by Divya,"Goregaon West, Mumbai","20,000"
Joban Binda Cross Dressing Studio and Salon,"Goregaon West, Mumbai","20,000"
Priyanka Sonawane Makeup Artist,"Goregaon West, Mumbai","8,000"
