Artist Name,Artist Location,Price
Makeup Mistress By Puja Rajput,"Howrah, Kolkata","8,000"
Samrin Blushing Beauty,"Howrah, Kolkata","6,000"
Triyasa Manna Makeovers,"Howrah, Kolkata","5,000"
Anusha Beauty Studio and Academy,"Howrah, Kolkata","10,000"
Makeup by Daraksha,"Howrah, Kolkata","7,000"
Debi'z Art,"Howrah, Kolkata","8,000"
Farhin Makeover,"Howrah, Kolkata","20,000"
Poulami's Makeover and Academy,"Howrah, Kolkata","10,000"
Ridhi Makeup and Beauty Salon,"Howrah, Kolkata","6,500"
The Glam Squad by KSP,"Howrah, Kolkata","6,000"
Minu Makeover,"Howrah, Kolkata","15,000"
Ritz Makeover,"Howrah, Kolkata","10,000"
AshNaaz Makeover,"Howrah, Kolkata","2,000"
Neha Naaz makeup,"Howrah, Kolkata","10,000"
Zarat,"Howrah, Kolkata","3,999"
