Artist Name,Artist Location,Price
Pavithra Makeup,"Indiranagar, Bangalore","18,000"
Eden Roses Makeup Studio,"Indiranagar, Bangalore","10,000"
Brides by Pooja Ghosh,"Indiranagar, Bangalore","9,000"
Shobha Makeover,"Indiranagar, Bangalore","9,500"
Natasha Kalra Makeovers,"Indiranagar, Bangalore","15,000"
Sarika Swathi Makeup Artistry,"Indiranagar, Bangalore","7,000"
Renuka Makeup Artist,"Indiranagar, Bangalore","7,500"
New Look,"Indiranagar, Bangalore","8,000"
Makeup Studio by KiKi,"Indiranagar, Bangalore","15,000"
Lakme Salon Domlur Bengaluru,"Indiranagar, Bangalore","3,000"
Amala Makeover Artistry,"Indiranagar, Bangalore","12,000"
Makeover by Joy Salomi,"Indiranagar, Bangalore","12,000"
Moies Makeover,"Indiranagar, Bangalore","10,000"
Meghana Gowda Makeovers,"Indiranagar, Bangalore","10,000"
N,"Indiranagar, Bangalore","7,500"
