Artist Name,Artist Location,Price
Nahid Lakdawala Makeup Artist,"Jogeshwari, Mumbai","15,000"
Makeup By Jojo,"Jogeshwari, Mumbai","8,000"
Farhana Sayed MUA,"Jogeshwari, Mumbai","5,000"
Ayesha's Makeup Academy,"Jogeshwari, Mumbai","5,500"
Aleeya P Khan Makeovers,"Jogeshwari, Mumbai","15,000"
Bridal Makeover,"Jogeshwari, Mumbai","10,000"
Sakshi Makeup Artistry,"Jogeshwari, Mumbai","10,000"
Mousami Gurung Makeup,"Jogeshwari, Mumbai","20,000"
Bhavina Dedhiya's Makeover,"Jogeshwari, Mumbai","10,000"
Glam Beauty by SK,"Jogeshwari, Mumbai","4,000"
Namrata Gupta Makeovers,"Jogeshwari, Mumbai","15,000"
Makeup by Mayesha,"Jogeshwari, Mumbai","16,000"
Makeup Artist Asmakhandwani,"Jogeshwari, Mumbai","12,000"
Makeover by Sharmeen,"Jogeshwari, Mumbai","8,000"
Makeup By Pratikshaa,"Jogeshwari, Mumbai","35,000"
Nisha Kadam Makeovers,"Jogeshwari, Mumbai","5,000"
Meetali Bridal Artist,"Jogeshwari, Mumbai","20,000"
The Magical Stroke,"Jogeshwari, Mumbai","7,000"
Sara Bhati Makeovers,"Jogeshwari, Mumbai","5,000"
Makeup Artist Fathima,"Jogeshwari, Mumbai","8,000"
Fizza Mehtab Sayyed Makeovers,"Jogeshwari, Mumbai","8,000"
Makeover By Sabreen,"Jogeshwari, Mumbai","7,000"
Beauty With Smile,"Jogeshwari, Mumbai","10,000"
Ashiyana Makeup,"Jogeshwari, Mumbai","8,000"
