Artist Name,Artist Location,Price
Makeover By Geeta,"Jp Nagar, Bangalore","8,000"
Makeup By Amulya,"Jp Nagar, Bangalore","10,000"
Makeup by Disha,"Jp Nagar, Bangalore","12,000"
Makeover by Stefi Sofia,"Jp Nagar, Bangalore","8,000"
Prasha - Make up & Hair by Ashwini sharath,"Jp Nagar, Bangalore","15,000"
Makeup And More,"Jp Nagar, Bangalore","8,000"
Bhavani Acharya,"Jp Nagar, Bangalore","8,000"
Orange Salon and Spa,"Jp Nagar, Bangalore","3,500"
GD's,"Jp Nagar, Bangalore","20,000"
Ayushi Singh Makeover,"Jp Nagar, Bangalore","10,000"
Athiramaniya,"Jp Nagar, Bangalore","8,000"
Makeover By Chicrama,"Jp Nagar, Bangalore","12,000"
Makeup by Susheela Gowda,"Jp Nagar, Bangalore","10,000"
Alyna Makeovers,"Jp Nagar, Bangalore","8,000"
Makeup by Misba Firdose,"Jp Nagar, Bangalore","7,000"
Makeovers By Shruthi,"Jp Nagar, Bangalore","15,000"
Makeup By Anuka,"Jp Nagar, Bangalore","12,000"
Makeover by Geetha,"Jp Nagar, Bangalore","9,000"
Roohinaaz Makeup Artist And Hairstylish,"Jp Nagar, Bangalore","7,000"
Yashoda Makeover Artistry,"Jp Nagar, Bangalore","20,000"
Priya Makeover,"Jp Nagar, Bangalore","12,000"
Vidyas Parlour,"Jp Nagar, Bangalore","2,500"
Makeover by Ambika S,"Jp Nagar, Bangalore","8,000"
Bridal Makeovers by Karuna,"Jp Nagar, Bangalore","10,000"
