Artist Name,Artist Location,Price
Swati Make Over,"Kelambakkam, Chennai","5,000"
Glam Up 90's Studio,"Kelambakkam, Chennai","8,500"
Emaya Artistry,"Kelambakkam, Chennai","12,000"
Priyaswaminathan Makeovers,"Kelambakkam, Chennai","10,000"
Shineand Glow Makeupstudio,"Kelambakkam, Chennai","10,000"
Raaja Makeup Artist,"Kelambakkam, Chennai","15,000"
LittleBrush Makeover,"Kelambakkam, Chennai","7,000"
Sunita Makeup Artistry,"Kelambakkam, Chennai","35,000"
Akshara Makeover Artistry,"Kelambakkam, Chennai","10,000"
Ives Ladies Beauty Parlour,"Kelambakkam, Chennai","10,000"
Makeup Maven KIKI,"Kelambakkam, Chennai","10,000"
Vijayalakshmi Makeover,"Kelambakkam, Chennai","4,000"
