Artist Name,Artist Location,Price
MakeoveratShachiSingh,"Kharadi, Pune","18,000"
Dynamic Ladies Salon,"Kharadi, Pune","8,000"
Makeover By Sneha,"Kharadi, Pune","12,000"
Makeup Stories By Reeta,"Kharadi, Pune","9,000"
Shubhada Aradhye Makeup & Hair Artist,"Kharadi, Pune","10,000"
Glow & Glamour Makeup Studio,"Kharadi, Pune","3,000"
Knamrataa Makeup,"Kharadi, Pune","7,500"
Jayshree Makeup Artist,"Kharadi, Pune","12,000"
Makup Box,"Kharadi, Pune","10,000"
Makeover by Pallavi,"Kharadi, Pune","15,000"
