Artist Name,Artist Location,Price
Sparkles Beauty Parlour,"Kukatpally, Hyderabad","10,000"
Sravanthi Makeup Artist,"Kukatpally, Hyderabad","12,000"
RS Beauty Parlour,"Kukatpally, Hyderabad","8,000"
Gouthami Makeup Artist,"Kukatpally, Hyderabad","15,000"
Suma Makeup Artistry,"Kukatpally, Hyderabad","10,000"
Shringar Beauty Parlour,"Kukatpally, Hyderabad","10,000"
Sitarabeauy Parlour,"Kukatpally, Hyderabad","15,000"
Sunitha Makeup Artist,"Kukatpally, Hyderabad","10,000"
Sris Beauty Parlour Makeup,"Kukatpally, Hyderabad","15,000"
Perfect Bride,"Kukatpally, Hyderabad","16,000"
Jyothi Blush Makeup Academy,"Kukatpally, Hyderabad","10,000"
