Artist Name,Artist Location,Price
Iza Setia Makeovers,"Lajpat Nagar, Delhi Ncr","35,000"
Himanika Makeovers & Pro. Studio,"Lajpat Nagar, Delhi Ncr","12,000"
Preeti Khatri,"Lajpat Nagar, Delhi Ncr","21,000"
Makeup by Prags,"Lajpat Nagar, Delhi Ncr","20,000"
Makeovers By Anchal,"Lajpat Nagar, Delhi Ncr","20,000"
Renu Suri Makeovers,"Lajpat Nagar, Delhi Ncr","15,000"
Makeup by Monah Khurana,"Lajpat Nagar, Delhi Ncr","20,000"
Blush N Click by Yashika,"Lajpat Nagar, Delhi Ncr","12,000"
Makeup Bytins,"Lajpat Nagar, Delhi Ncr","10,000"
Deep Mallik MUA,"Lajpat Nagar, Delhi Ncr","12,000"
Glamorous You,"Lajpat Nagar, Delhi Ncr","12,000"
Mahima and Aayushi Makeover,"Lajpat Nagar, Delhi Ncr","14,000"
Priyanjal Verma Makeover,"Lajpat Nagar, Delhi Ncr","15,000"
Glam N Dazzle,"Lajpat Nagar, Delhi Ncr","13,000"
De Velvet Salon Lajpat,"Lajpat Nagar, Delhi Ncr","20,000"
Ankita Tripathi Makeup Artist,"Lajpat Nagar, Delhi Ncr","24,000"
Parnika shrivastava,"Lajpat Nagar, Delhi Ncr","15,000"
Geetika MUA,"Lajpat Nagar, Delhi Ncr","8,000"
Glow up with Hurvashi,"Lajpat Nagar, Delhi Ncr","12,000"
Glam by Smriti,"Lajpat Nagar, Delhi Ncr","16,000"
Preek Makeover,"Lajpat Nagar, Delhi Ncr","10,000"
Makeup by Harpreet gujral,"Lajpat Nagar, Delhi Ncr","10,000"
Makeover by Savi,"Lajpat Nagar, Delhi Ncr","8,000"
Glam By Bushra,"Lajpat Nagar, Delhi Ncr","15,000"
