Artist Name,Artist Location,Price
Studio Eight Makeup & Beauty,"Madipakkam, Chennai","8,000"
Blush & Bronzer,"Madipakkam, Chennai","3,000"
Blusher's Makeup Artistry,"Madipakkam, Chennai","8,000"
Rytefix Bridal Makeup,"Madipakkam, Chennai","7,000"
AK Bridal Works,"Madipakkam, Chennai","9,000"
Madhu's Bridal Studio,"Madipakkam, Chennai","6,000"
Swetha Makeup Artist,"Madipakkam, Chennai","5,000"
Makeup Stories By Hasna,"Madipakkam, Chennai","15,000"
Hemamalini Makeover Artistry,"Madipakkam, Chennai","10,000"
Femina Family Salon And Bridal Studio,"Madipakkam, Chennai","5,000"
Padhumaipenn Makeovers,"Madipakkam, Chennai","10,000"
Kalas Beauty Academy,"Madipakkam, Chennai","15,000"
Jeevi Makeup Artistry,"Madipakkam, Chennai","7,000"
Nivii Artistry,"Madipakkam, Chennai","8,000"
Aish beauty spa,"Madipakkam, Chennai","8,000"
Nithya Nrk Makeupartist,"Madipakkam, Chennai","15,000"
Preethak Makeover,"Madipakkam, Chennai","5,000"
K Beauty Lounge,"Madipakkam, Chennai","8,000"
Sharmi Makeover,"Madipakkam, Chennai","6,000"
Sruthi Keerti's Hair and Makeup,"Madipakkam, Chennai","10,000"
Archus Mua,"Madipakkam, Chennai","10,000"
Ezhil La Belle,"Madipakkam, Chennai","8,000"
SS Glam Bridal Studio,"Madipakkam, Chennai","7,000"
Studio Eight,"Madipakkam, Chennai","8,000"
