Artist Name,Artist Location,Price
Maitri's Makeup Hair Artistry,"Mulund, Mumbai","15,000"
Makeover Sonam Vishwakarma,"Mulund, Mumbai","8,000"
Hemali Mehta Professional Makeup Artist and Hairstylist,"Mulund, Mumbai","25,000"
Lush Spalon,"Mulund, Mumbai","10,000"
Aarvee's Makeup Arts,"Mulund, Mumbai","15,000"
Reena Gala Bridal Makeover,"Mulund, Mumbai","12,000"
Arti Bridal Makeover,"Mulund, Mumbai","10,999"
Esthetic Makeup,"Mulund, Mumbai","2,000"
BIJAL GADA MAKEOVERS,"Mulund, Mumbai","15,000"
Archana Thakkar Bridal Studio,"Mulund, Mumbai","7,500"
One Brush,"Mulund, Mumbai","10,000"
Poonam Makeover's,"Mulund, Mumbai","6,000"
Bijal Gada makeover artist,"Mulund, Mumbai","20,000"
Makeup by Mehek,"Mulund, Mumbai","8,000"
Seema Ratti Makeovers,"Mulund, Mumbai","11,000"
Ratan Ghadge,"Mulund, Mumbai","15,000"
