Artist Name,Artist Location,Price
UVA Makeup Artistry,"Nanganallur, Chennai","5,000"
Sangi Avias Makeup,"Nanganallur, Chennai","18,000"
Shanthini Raveen Make-up Artist,"Nanganallur, Chennai","10,000"
Anusha Makeup Artist,"Nanganallur, Chennai","8,500"
Studio Deepz,"Nanganallur, Chennai","8,000"
Nakshatra Bridal Studio,"Nanganallur, Chennai","15,000"
Sk Fashions Beauty Parlour,"Nanganallur, Chennai","7,000"
Nakshatra Bridal Studio,"Nanganallur, Chennai","12,000"
Vijilaxmi Makeup Artist,"Nanganallur, Chennai","10,000"
Swathis Sparkle Makeover,"Nanganallur, Chennai","10,000"
