Artist Name,Artist Location,Price
Lavish Salon Academy,"Nangloi, Delhi","20,000"
Rajni Mehra Makeup Artist,"Nangloi, Delhi","6,000"
Riya Salmani Makeovers,"Nangloi, Delhi","15,000"
Rajni Makeover,"Nangloi, Delhi","10,000"
Makeup by Vinee,"Nangloi, Delhi","8,999"
Ruby Sharma Makeovers,"Nangloi, Delhi","8,500"
Shivanya Makeovers,"Nangloi, Delhi","7,999"
Ahuja’s Touch,"Nangloi, Delhi","8,000"
Shades of Beauty Delhi,"Nangloi, Delhi","8,000"
Blush by Nisha,"Nangloi, Delhi","15,000"
Manheee Makeover,"Nangloi, Delhi","10,000"
Magical Brush by Naviti,"Nangloi, Delhi","8,000"
Dolly Makeup Artist,"Nangloi, Delhi","9,000"
Navya Makeover 75,"Nangloi, Delhi","12,000"
Vkr Makeover,"Nangloi, Delhi","10,000"
