Artist Name,Artist Location,Price
Pooja Charvi Makeovers,"Navi Mumbai, Mumbai","25,000"
Makeover By Priyanka,"Navi Mumbai, Mumbai","5,000"
Stay Glam -Poonam Proffesional Makeup & Hair Artist,"Navi Mumbai, Mumbai","8,500"
Mahima Gandhi Makeup,"Navi Mumbai, Mumbai","25,000"
Allure By Nancy,"Navi Mumbai, Mumbai","12,000"
Vaishu Radhakrishnan,"Navi Mumbai, Mumbai","5,000"
Snehal Bridal Makeover,"Navi Mumbai, Mumbai","8,000"
Kavita Khapekar Makeover,"Navi Mumbai, Mumbai","15,000"
Joystna Makeover,"Navi Mumbai, Mumbai","15,000"
Pratima Gaikwad Professional Make-up Artist,"Navi Mumbai, Mumbai","15,000"
NIL ART,"Navi Mumbai, Mumbai","5,000"
Disha Makeup Artist,"Navi Mumbai, Mumbai","10,000"
Bonbella Salon and Academy,"Navi Mumbai, Mumbai","10,000"
Archi's Artistry,"Navi Mumbai, Mumbai","10,000"
Yashswi Makeup Artist,"Navi Mumbai, Mumbai","10,000"
Hair & Makeup Artist,"Navi Mumbai, Mumbai","10,000"
Lata Makeup & Hairstyle Artist,"Navi Mumbai, Mumbai","10,000"
Mayuri Beauty Studio,"Navi Mumbai, Mumbai","8,000"
Kavita Makeup Hair Artist,"Navi Mumbai, Mumbai","15,000"
Jagruti Makeup,"Navi Mumbai, Mumbai","8,500"
R S Makeup Hairstyle,"Navi Mumbai, Mumbai","25,000"
Gorgeous Beauty Studio,"Navi Mumbai, Mumbai","10,000"
Beauty & Style,"Navi Mumbai, Mumbai","5,000"
The Beauty Queen Makeover,"Navi Mumbai, Mumbai","10,000"
