Artist Name,Artist Location,Price
Vinita Sherry Makeup Artist and Hair Stylist,"Pimpri, Pune","15,000"
Sumaiya Pro Makeup Artist,"Pimpri, Pune","9,000"
Anu Bandal Makeup Artist,"Pimpri, Pune","8,000"
Fresh Glow Makeup Studio & Spa Salon,"Pimpri, Pune","15,000"
Salon by Aruna,"Pimpri, Pune","5,000"
Manisha Patil Mua,"Pimpri, Pune","8,000"
Archanathite Mua,"Pimpri, Pune","15,000"
Akash Makeover,"Pimpri, Pune","10,000"
Swaru Beauty Salon,"Pimpri, Pune","6,000"
Vaibhavi Gosavis Makeover,"Pimpri, Pune","30,000"
Seial Rajude Makeup,"Pimpri, Pune","5,000"
The Sonal Makeup Artist,"Pimpri, Pune","20,000"
Abhilasha Makeup Artist,"Pimpri, Pune","15,000"
Janvi Pawar Makeup,"Pimpri, Pune","17,000"
Bhagyashri Sonone Makeovers,"Pimpri, Pune","5,000"
