Artist Name,Artist Location,Price
Bhagya Makeup Artist,"Rajajinagar, Bangalore","10,000"
Makeup and Hair by Nivriti,"Rajajinagar, Bangalore","13,800"
Attitude Salon,"Rajajinagar, Bangalore","6,000"
Makeup By Kavya Shree,"Rajajinagar, Bangalore","8,000"
Makeup By Shruthi Prashanth,"Rajajinagar, Bangalore","4,000"
Makeover by Nandajattigeri,"Rajajinagar, Bangalore","7,000"
Bindu Makeover Artistry,"Rajajinagar, Bangalore","8,000"
Silken Makeup Studio,"Rajajinagar, Bangalore","15,000"
MuJ's Bridal Studio,"Rajajinagar, Bangalore","9,999"
Sindhu TS MUA,"Rajajinagar, Bangalore","6,000"
Makeover by Asha Dinesh,"Rajajinagar, Bangalore","10,000"
Dhanalakshmi Makeup Artistry,"Rajajinagar, Bangalore","15,000"
Revamp by Bhavana,"Rajajinagar, Bangalore","10,000"
New Trends Women's Salon & Makeup Studio,"Rajajinagar, Bangalore","7,000"
Meera Makeover,"Rajajinagar, Bangalore","8,000"
Padmashriveena,"Rajajinagar, Bangalore","10,000"
Usha Beauty Hub,"Rajajinagar, Bangalore","15,000"
Desire Dream Makeup,"Rajajinagar, Bangalore","10,000"
Jaya Makeup Artist,"Rajajinagar, Bangalore","20,000"
Harshavardini Reddy Makeup Studio & Academy,"Rajajinagar, Bangalore","15,000"
Ramya Bridal Artistry,"Rajajinagar, Bangalore","12,000"
Lovely Makeover,"Rajajinagar, Bangalore","18,000"
Artistry by Padmashree,"Rajajinagar, Bangalore","5,999"
Makeover Traits,"Rajajinagar, Bangalore","8,000"
