Artist Name,Artist Location,Price
Taniska Makeup studio & academy,"Vadapalani, Chennai","10,000"
Divi Durga Makeovers,"Vadapalani, Chennai","15,000"
Peach And Blush,"Vadapalani, Chennai","14,000"
SM Bridal Styles,"Vadapalani, Chennai","5,000"
Thanu's Beauty Studio,"Vadapalani, Chennai","6,000"
The Beauty Portrait,"Vadapalani, Chennai","7,000"
Ganesh Hairstyle Studio,"Vadapalani, Chennai","25,000"
V Change Bridal Studio,"Vadapalani, Chennai","15,000"
Janani Mohan Makeovers,"Vadapalani, Chennai","13,000"
Artistry by Swetha,"Vadapalani, Chennai","15,000"
Taniska Makeup Studio,"Vadapalani, Chennai","10,000"
Makeover Ravi,"Vadapalani, Chennai","30,000"
Ruby Rose Makeup World,"Vadapalani, Chennai","10,000"
Makeup Artist L V Raja,"Vadapalani, Chennai","15,000"
Flair,"Vadapalani, Chennai","8,000"
Daze Artistry,"Vadapalani, Chennai","13,000"
Abinaya Shri Makeup Artist,"Vadapalani, Chennai","8,000"
Sai Shashini Makeover Artistry,"Vadapalani, Chennai","7,000"
Cine Bridal Makeup's,"Vadapalani, Chennai","10,000"
Amaladharman Makeup Artist,"Vadapalani, Chennai","5,000"
Poonam Makeup,"Vadapalani, Chennai","12,000"
Avni Makeup Artistry,"Vadapalani, Chennai","10,000"
