Artist Name,Artist Location,Price
Mahi Makeup Artistry,"Yelahanka, Bangalore","10,000"
Makeup by Apoorva,"Yelahanka, Bangalore","10,000"
Makeover by Deepikanup,"Yelahanka, Bangalore","10,000"
Makeup by Alifiya Roshan,"Yelahanka, Bangalore","10,000"
Makeover by Pallavi D,"Yelahanka, Bangalore","10,000"
Lax Studio,"Yelahanka, Bangalore","15,000"
Geetha Vijay Makeovers,"Yelahanka, Bangalore","18,000"
It's me Siri Makeup,"Yelahanka, Bangalore","5,000"
Makeup by Mahi,"Yelahanka, Bangalore","10,000"
Rathna Makeovers,"Yelahanka, Bangalore","6,000"
Vinutha Makeup Artist,"Yelahanka, Bangalore","10,000"
Makeover by Anuja,"Yelahanka, Bangalore","8,000"
Joslina Mua,"Yelahanka, Bangalore","2,500"
Glamup by Rishika Gowda,"Yelahanka, Bangalore","16,000"
Ranjitha Makeup Studio And Academy,"Yelahanka, Bangalore","10,000"
Makeover by Sushma Gaikawad,"Yelahanka, Bangalore","8,000"
Shivani Sakshi Makeover,"Yelahanka, Bangalore","12,000"
Makeup by Hemasri,"Yelahanka, Bangalore","10,000"
Crowing Beauty,"Yelahanka, Bangalore","5,000"
Makeup by Garry,"Yelahanka, Bangalore","5,000"
Pankaja,"Yelahanka, Bangalore","10,000"
Priyanka Makeup Works,"Yelahanka, Bangalore","15,000"
