Photographer Name,Photographer Location,Price
Recreate Photography,"Jp Nagar, Bangalore","40,000"
R K Digital Studio,"Jp Nagar, Bangalore","11,000"
Ruansh Studio,"Jp Nagar, Bangalore","55,000"
Prakrithi Sangeeth,"Jp Nagar, Bangalore","1,20,000"
Luv Stories by Navaneet Nair,"Jp Nagar, Bangalore","50,000"
Sharath Padaru Photography,"Jp Nagar, Bangalore","50,000"
Mrfstudio,"Jp Nagar, Bangalore",On Request
Rajesh Pande,"Jp Nagar, Bangalore","27,000"
Studio Behold,"Jp Nagar, Bangalore","1,00,000"
Yatish YKR Photography,"Jp Nagar, Bangalore","90,000"
The Wedding Clickers,"Jp Nagar, Bangalore","45,000"
5 Pixels,"Jp Nagar, Bangalore","50,000"
Nikhil Shastri,"Jp Nagar, Bangalore","45,000"
Raghava Photography,"Jp Nagar, Bangalore","1,40,000"
SS Photography,"Jp Nagar, Bangalore","22,000"
Stories by Atanu,"Jp Nagar, Bangalore","15,000"
Gayathri Pramod Photography,"Jp Nagar, Bangalore",On Request
,"Jp Nagar, Bangalore","60,000"
