Photographer Name,Photographer Location,Price
Photo Magic,"Madipakkam, Chennai","30,000"
Salomz Studios,"Madipakkam, Chennai","80,000"
F2PointZero,"Madipakkam, Chennai","36,000"
Knotte Studio,"Madipakkam, Chennai","40,000"
A Parthu's Frame,"Madipakkam, Chennai","30,000"
Photo Pic Photography,"Madipakkam, Chennai","60,000"
Our Tales Photography,"Madipakkam, Chennai","35,000"
Accord Photography,"Madipakkam, Chennai","25,000"
Lumo Photography,"Madipakkam, Chennai","23,000"
Keerthi Digital Photo Studio,"Madipakkam, Chennai","18,000"
Vidhu Photography,"Madipakkam, Chennai","15,000"
Prashanth Bionic,"Madipakkam, Chennai","1,20,000"
