Photographer Name,Photographer Location,Price
Magic Lens Studio,"Porur, Chennai","55,000"
Dot studioz,"Porur, Chennai","35,000"
Shivakrishna Photography,"Porur, Chennai","60,000"
Dhilip Studio,"Porur, Chennai","70,000"
Infinitetales Photography,"Porur, Chennai","35,000"
Infinity A Media Store,"Porur, Chennai","45,000"
D Studio,"Porur, Chennai","27,000"
Major Millikan Studio,"Porur, Chennai","18,000"
Dreamz Capture,"Porur, Chennai","23,000"
Saa studio,"Porur, Chennai","30,000"
Imai Studio,"Porur, Chennai","23,000"
Dhee Media,"Porur, Chennai","4,500"
