Venue Name,Venue Location,Price per Plate
Carnival Pearl Grand,"Alipur, Delhi Ncr","1,500"
Tivoli Grand Resort Emerald Greens,"Alipur, Delhi Ncr",1805 - 2005
D Maple Garden,"Alipur, Delhi Ncr",1700 - 2100
RG S House,"Alipur, Delhi Ncr",1200 - 1400
Asha Farm Lawn,"Alipur, Delhi Ncr",1200 - 1500
MH One Resort Hotel Ananta,"Alipur, Delhi Ncr",3500 - 4000
Golden Ring Motel and Resorts,"Alipur, Delhi Ncr",500 - 600
Shubh Bandhan Marriage Palace,"Alipur, Delhi Ncr",600 - 750
Karan Garden,"Alipur, Delhi Ncr",600
Bansal Sewa Sadan,"Alipur, Delhi Ncr",350 - 450
Park Meadows,"Alipur, Delhi Ncr",1200 - 1350
National Farm,"Alipur, Delhi Ncr",1800 - 2200
Zafferano Suryadev Motel Resorts,"Alipur, Delhi Ncr",1200 - 1400
The Maple Gardens,"Alipur, Delhi Ncr","1,300"
The Moments,"Alipur, Delhi Ncr",700 - 900
Sisodia Vatika,"Alipur, Delhi Ncr",800 - 900
Bageecha Banquet,"Alipur, Delhi Ncr","3,50,000"
Yadu greens,"Alipur, Delhi Ncr",600 - 600
Nandanvan Farm Lawn,"Alipur, Delhi Ncr","7,67,000"
EDEN Garden,"Alipur, Delhi Ncr","3,00,000"
Carnival Resort,"Alipur, Delhi Ncr","1,50,000"
