Venue Name,Venue Location,Price per Plate
Pachamama Art Cafe,"Aluva, Kochi",354 - 531
Hotel JP Park,"Aluva, Kochi",150 - 225
Hotel Periyaar - Board room,"Aluva, Kochi",413 - 472
Hot Wok restaurant,"Aluva, Kochi",300 - 350
Hotel Navaratna Banquet Hall,"Aluva, Kochi",280 - 300
Mahnami Banquet Hall 1,"Aluva, Kochi",100 - 100
Sulthan veedu,"Aluva, Kochi",275 - 450
Salkaram Restaurant,"Aluva, Kochi",300 - 450
Lucamo Resto Cafe,"Aluva, Kochi",100 - 120
Village home,"Aluva, Kochi",354 - 354
Once Upon The River,"Aluva, Kochi",800 - 1000
Kohinoor Resort,"Aluva, Kochi",500 - 650
Flora Charishma Residency Hall,"Aluva, Kochi",500 - 800
Paravoor Gateway Residency,"Aluva, Kochi",100 - 150
Palm Inn,"Aluva, Kochi",177 - 354
Eram International Convention Centre,"Aluva, Kochi","40,000"
M A K Hall,"Aluva, Kochi","28,500"
KMH Auditorium,"Aluva, Kochi","60,000"
Fathimas Auditorium,"Aluva, Kochi",On Request
Priyadarshini Hall,"Aluva, Kochi","35,000"
YMCA Hall,"Aluva, Kochi","42,480"
J J Auditorium,"Aluva, Kochi","18,000"
kadheeja Auditorium,"Aluva, Kochi","21,000"
The isle by area seven zero seven,"Aluva, Kochi","21,500"
