Venue Name,Venue Location,Price per Plate
Aisshwarya Banquet Hall,"Ambegaon, Pune",525
Sakhee Banquet,"Ambegaon, Pune",400 - 400
Hotel Majestique,"Ambegaon, Pune",400 - 400
Bagicha Family Restaurant,"Ambegaon, Pune",300 - 300
Shamkonda Farm House,"Ambegaon, Pune",400 - 400
Hotel Kkanchan Veg,"Ambegaon, Pune",700
Memane Farm House,"Ambegaon, Pune",600
Hotel Sawai Sarja,"Ambegaon, Pune",600
Kasturi Lawns,"Ambegaon, Pune",400 - 400
Trimurti Lawns,"Ambegaon, Pune",500 - 500
Varshavan Resorts,"Ambegaon, Pune",400 - 400
Chaitanya Agro Farm,"Ambegaon, Pune",400 - 400
Shree Ganesh Mangal Karyalay,"Ambegaon, Pune",600
Shree Kateel Restaurant,"Ambegaon, Pune",450 - 500
Kesar Inn Banquet Lodging,"Ambegaon, Pune",850 - 900
Hotel Sangram,"Ambegaon, Pune",400 - 400
Rajlaxmi Garden,"Ambegaon, Pune",500 - 500
Yashoda Garden,"Ambegaon, Pune",600
Nakshatra Hall and Lawns,"Ambegaon, Pune",900 - 900
ZiyonEvents Banquet Hall,"Ambegaon, Pune",800 - 1000
PRATIKRUTI THE LAKE VIEW RESORT,"Ambegaon, Pune","1,00,000"
Vivotree Hotel,"Ambegaon, Pune","30,000"
Navale Lawns,"Ambegaon, Pune",400 - 400
Silver Banquet,"Ambegaon, Pune","1,20,000"
