Venue Name,Venue Location,Price per Plate
Dominc Savio Ground Lawn,"Andheri East, Mumbai","1,15,000"
The Mirador Crimson 2,"Andheri East, Mumbai",1600 - 1800
The International By Tunga Hall 1,"Andheri East, Mumbai",1120 - 1180
Hotel Aureole Banquet Hall 1,"Andheri East, Mumbai",900 - 1000
The Regale By Tunga Banquet Hall 1,"Andheri East, Mumbai",1100 - 1300
Ruby Kohinoor Continental Hall,"Andheri East, Mumbai",918 - 1118
Peninsula Redpine,"Andheri East, Mumbai",2100 - 1310
holiday inn,"Andheri East, Mumbai",2518 - 2618
Ginger Hotel,"Andheri East, Mumbai",600 - 700
Universe Banquet,"Andheri East, Mumbai",900
The Paradise By Tunga Hotel,"Andheri East, Mumbai",1100 - 1200
Citrus Hotel,"Andheri East, Mumbai",1000 - 1200
Pushtikar Kalyan Kendra,"Andheri East, Mumbai",700 - 700
Hyatt Regency Ballroom 1 And 2,"Andheri East, Mumbai",2500 - 2700
Sosho Kitchen Hall,"Andheri East, Mumbai",650 - 750
Hotel Ginger MIDC,"Andheri East, Mumbai",618 - 818
Dragonfly Hotel The Art Hotel,"Andheri East, Mumbai",699 - 899
Bohemian Pool Party Bungalow,"Andheri East, Mumbai",700 - 700
Ayesha Lawn,"Andheri East, Mumbai",550 - 800
Hotel Samraj,"Andheri East, Mumbai",400 - 550
Dragonfly The Art Hotel Hall 1,"Andheri East, Mumbai",700 - 800
The Leela Mumbai,"Andheri East, Mumbai",2900 - 3200
The Ontime Hotel,"Andheri East, Mumbai",650 - 750
"Symphony Banquet Hall,Andheri","Andheri East, Mumbai",700
