Venue Name,Venue Location,Price per Plate
Sai Leela Grand Hall 1,"Badarpur, Delhi",1400 - 1600
Yadi Garden,"Badarpur, Delhi",800 - 1000
Krishna Garden,"Badarpur, Delhi",800 - 1050
Ojas Garden Hall 1,"Badarpur, Delhi",800 - 1000
Utsav Party Hall,"Badarpur, Delhi",750 - 900
The Sentinel Hotel,"Badarpur, Delhi",1000 - 1200
The Pamposh,"Badarpur, Delhi",700 - 850
Gumbers Farm,"Badarpur, Delhi","28,000"
Om Garden,"Badarpur, Delhi","2,00,600"
Kanishka Garden,"Badarpur, Delhi","1,18,000"
Hari Krishna Vatika Lawn,"Badarpur, Delhi","1,77,000"
Dheer Garden,"Badarpur, Delhi","1,00,018"
Akash Garden,"Badarpur, Delhi","1,00,018"
Kanak Banquets,"Badarpur, Delhi","25,000"
