Venue Name,Venue Location,Price per Plate
Rose Garden Function Hall,"Bandlaguda, Hyderabad","1,47,800"
Barbeque Hub Banquet Hall,"Bandlaguda, Hyderabad",450 - 550
Deccan Palace Function Hall,"Bandlaguda, Hyderabad","1,90,000"
Akshaya Banquet Hall,"Bandlaguda, Hyderabad",400 - 550
City Palace Function Hall,"Bandlaguda, Hyderabad",On Request
K S Convention Hall 1,"Bandlaguda, Hyderabad","60,000"
Star Garden Function Hall,"Bandlaguda, Hyderabad","3,00,000"
MM Gardens,"Bandlaguda, Hyderabad","90,018"
Veerabhadra Swamy Function Hall,"Bandlaguda, Hyderabad","45,000"
Arfath Garden Function Hall,"Bandlaguda, Hyderabad","52,018"
MS Function Hall,"Bandlaguda, Hyderabad","30,000"
Amber Garden Function Hall,"Bandlaguda, Hyderabad","1,00,000"
KK Convention & Banquet Hall,"Bandlaguda, Hyderabad","1,20,000"
Shambhavi A/C Function Hall,"Bandlaguda, Hyderabad","70,000"
