Venue Name,Venue Location,Price per Plate
Bora Bora Hall,"Bandra West, Mumbai",450 - 550
Hotel RangSharda,"Bandra West, Mumbai",500 - 500
Hotel Rangsharda Hall,"Bandra West, Mumbai",650 - 750
Vintage Garden Lawn,"Bandra West, Mumbai",600 - 750
President Mumbai IHCL SeleQtions,"Bandra West, Mumbai",3304 - 4484
Golden Banquet Hall,"Bandra West, Mumbai","1,000"
Sonabai Hall,"Bandra West, Mumbai",450 - 550
Hotel Metro Palace,"Bandra West, Mumbai",650 - 750
Shri Sant Gadge Maharaj Sabhagruh,"Bandra West, Mumbai",750 - 1000
V Banquets And Lawns,"Bandra West, Mumbai",600 - 750
Mac Queens,"Bandra West, Mumbai",1250 - 1250
Taj Lands End,"Bandra West, Mumbai",4000 - 4000
Hotel Grace Galaxy,"Bandra West, Mumbai",950 - 950
Zeta Banquet,"Bandra West, Mumbai",1000 - 1200
The Mumbai Assembly,"Bandra West, Mumbai",400
Papageno - The Party Place,"Bandra West, Mumbai",1300 - 1300
The Thal Company,"Bandra West, Mumbai",600
Joseph's Dreamland,"Bandra West, Mumbai",1000 - 1300
Bastian,"Bandra West, Mumbai",1750 - 2250
China Gate,"Bandra West, Mumbai",850 - 1050
Bonobo,"Bandra West, Mumbai",400 - 400
Pioneer Hall,"Bandra West, Mumbai",669 - 889
Jari Mata Mandir Hall,"Bandra West, Mumbai",450
Bandstand Weddings By The Sea,"Bandra West, Mumbai","27,000"
