Venue Name,Venue Location,Price per Plate
Radiant Resort Banquet Hall,"Bannerghatta, Bangalore","60,018"
Valley View Resort Banquet Hall,"Bannerghatta, Bangalore",375 - 450
Park Hotel And Resort Conference Hall,"Bannerghatta, Bangalore",600 - 750
Sri Udupi Parkk Party Hall,"Bannerghatta, Bangalore",300
Yaksha Samskruthi Banquet Hall,"Bannerghatta, Bangalore","15,000"
Hotel Green Way Resort Party Hall 1,"Bannerghatta, Bangalore",350 - 450
Fattoush Banquet Hall,"Bannerghatta, Bangalore",650 - 750
Abhinandana Banquet Hall,"Bannerghatta, Bangalore",450 - 500
Malabar Bay Banquet Hall,"Bannerghatta, Bangalore",300 - 400
Krivi Banquet Hall,"Bannerghatta, Bangalore",468 - 618
Taj Coastal Party Hall,"Bannerghatta, Bangalore",368 - 493
GNS Party Hall,"Bannerghatta, Bangalore",550
Area Resort,"Bannerghatta, Bangalore",1018 - 1018
Radiant Resort,"Bannerghatta, Bangalore",750 - 950
Vistar Resorts,"Bannerghatta, Bangalore",1000 - 1200
Sunrise Inn Resort Convention Hall,"Bannerghatta, Bangalore","50,000"
Geethanjali Wedding Venue,"Bannerghatta, Bangalore",850 - 1050
Pride Vatika Club,"Bannerghatta, Bangalore",1000 - 1200
Shree Sitharama Convention Hall,"Bannerghatta, Bangalore","1,33,000"
Nandanavana Convention Hall,"Bannerghatta, Bangalore","4,00,000"
MSK Function Hall,"Bannerghatta, Bangalore","83,000"
GK Party Hall,"Bannerghatta, Bangalore",505 - 705
Devaki Anand Suvarna Convention Hall,"Bannerghatta, Bangalore","2,70,000"
Prema Vijaya Convention Hall,"Bannerghatta, Bangalore","2,85,018"
