Venue Name,Venue Location,Price per Plate
Tirupati Banquet Guest House,"Barasat, Kolkata",650 - 800
Chandimata Villa Hall,"Barasat, Kolkata",450 - 550
Asha Ceremonial House,"Barasat, Kolkata",850 - 950
Karunamayee,"Barasat, Kolkata",700 - 800
Duna Palace,"Barasat, Kolkata",700 - 900
Ubique Hotel,"Barasat, Kolkata",618 - 818
Daruchini Banquets,"Barasat, Kolkata",750 - 1000
Imperial Banquet,"Barasat, Kolkata",700 - 850
Ojha Complex,"Barasat, Kolkata",500 - 600
Ayesh Banquets,"Barasat, Kolkata",300 - 400
R A Banquet,"Barasat, Kolkata",400 - 500
Aastha Lodge,"Barasat, Kolkata",450 - 500
Abhinandan Event Hall,"Barasat, Kolkata",800 - 1000
Chatu Babu Latu Babu Rajbari Hall,"Barasat, Kolkata",650 - 750
The Pacific Resort,"Barasat, Kolkata",900 - 1100
Orchid Hotel Hall,"Barasat, Kolkata",550 - 850
Tiru Bhavan Hall,"Barasat, Kolkata",400 - 500
Maa Bhagwati Banquets,"Barasat, Kolkata",650 - 750
Aradhana Banquet Hall,"Barasat, Kolkata",550 - 650
Neelpari Ceremony House,"Barasat, Kolkata",400 - 550
Bipasha Banquet Hall,"Barasat, Kolkata",700 - 900
Tilottama Marriage Hall,"Barasat, Kolkata",600 - 750
Chandan Banquet Hall,"Barasat, Kolkata",350 - 450
Pushpanjali Biye Bari Hall,"Barasat, Kolkata",450 - 500
