Venue Name,Venue Location,Price per Plate
The Palace Garden,"Bengaluru, Bangalore",900 - 1200
DRLS Palace - Wedding & Banquet Hall,"Bengaluru, Bangalore","1,850"
Ayodhya Kalyan Mantapa Hall,"Bengaluru, Bangalore","40,000"
Nagalakshmi Kalyana Mantapa Hall,"Bengaluru, Bangalore","65,000"
Vijay Kiran Convention Center,"Bengaluru, Bangalore","3,00,000"
Devprayag Bangalore,"Bengaluru, Bangalore",1
Floradel Farm,"Bengaluru, Bangalore",1250 - 1450
Parika Hospitality Service Hall,"Bengaluru, Bangalore",700 - 900
Sudarshana Kalyana mantapa Hall,"Bengaluru, Bangalore",450
Vanusa Residency Hall,"Bengaluru, Bangalore",550
Nexstay Rainbow Business Hall,"Bengaluru, Bangalore",550 - 650
Bhavasara Bhavana Kalyana Mantapa,"Bengaluru, Bangalore",450
Seetha Rama Hall,"Bengaluru, Bangalore",450
Mathru Sagar Party Hall,"Bengaluru, Bangalore",350
Sunny Holiday Village,"Bengaluru, Bangalore",450 - 550
Thirunellai Vishwakarma Kalyana Mantapa Hall,"Bengaluru, Bangalore",350
Machideva Kalyana Mandira Hall,"Bengaluru, Bangalore",450
Chamaraju Kalyana Mandira,"Bengaluru, Bangalore",750
Sri Satyanaarayana Swami Kalyana Mantapa,"Bengaluru, Bangalore",450
Sri Y Muniswaamappa Kalyaana Mantapa Hall,"Bengaluru, Bangalore",450
Yelahanka Kunchitigara Kalyana Mantapa Hall,"Bengaluru, Bangalore",450
Shree Swargha Heritage Wedding Hall,"Bengaluru, Bangalore",1000 - 1200
ZOTRA LAWNS,"Bengaluru, Bangalore",350 - 450
Neil Arthur Blazey Le Roma Gardenia,"Bengaluru, Bangalore",1550 - 2250
