Venue Name,Venue Location,Price per Plate
Hotel Indraprastha,"Benz Circle, Vijayawada",800 - 1000
A Plus Convention Center,"Benz Circle, Vijayawada","2,00,000"
Hotel Aira Vilasini,"Benz Circle, Vijayawada",400 - 600
Jade Suites,"Benz Circle, Vijayawada",500 - 550
Empire Function Hall,"Benz Circle, Vijayawada",450 - 650
The Metropolitan Hotel - GBR,"Benz Circle, Vijayawada",550 - 600
Dv Manor Banquet Hall,"Benz Circle, Vijayawada",700 - 1000
Novotel V Convention Banquet Hall,"Benz Circle, Vijayawada",1318 - 1518
Sri Saibaba Kalyanamandapam,"Benz Circle, Vijayawada","1,20,000"
SVLT Sainadha Kalyana Mandapam,"Benz Circle, Vijayawada","30,000"
SVS Kalyana Mandapam,"Benz Circle, Vijayawada","50,000"
Sri Gayathri Society Convention Hall,"Benz Circle, Vijayawada","28,000"
RR Grand Banquet Hall,"Benz Circle, Vijayawada","25,000"
Sri Sesha Sai Kalyana Vedika,"Benz Circle, Vijayawada","2,00,000"
Samyuktha Vedika,"Benz Circle, Vijayawada","1,75,000"
V Convention Center,"Benz Circle, Vijayawada","25,000"
Subhalagna Vedika Kalyana Mandapam,"Benz Circle, Vijayawada","40,000"
