Venue Name,Venue Location,Price per Plate
Mulund celebration hall,"Bhiwandi, Mumbai",650
Tryst Gopalas Residency Hall,"Bhiwandi, Mumbai",550 - 650
White House Hall,"Bhiwandi, Mumbai",250 - 350
Mangalmurthi Marriage Garden Hall,"Bhiwandi, Mumbai",600 - 1000
Shree Giriraj Balaji Banquets,"Bhiwandi, Mumbai",600
Shree Giriraj Balaji Banquets Mumbai,"Bhiwandi, Mumbai",600
VITS Kalyan,"Bhiwandi, Mumbai",550 - 650
Varaladevi Mangal Bhawan,"Bhiwandi, Mumbai",550 - 750
Shangrila Resort,"Bhiwandi, Mumbai",850 - 1050
VITS Kalyan Hall,"Bhiwandi, Mumbai",650 - 750
Sogno Farm Lawn,"Bhiwandi, Mumbai",650 - 750
Vedika Farm Lawn,"Bhiwandi, Mumbai",650 - 750
Salamat Marriage Hall,"Bhiwandi, Mumbai","31,860"
Ansari Mohammad Ali Marriage Ground,"Bhiwandi, Mumbai","35,400"
Paradise Funland Banquet Hall,"Bhiwandi, Mumbai","50,000"
Rajaram Keshav Mangal Karyalay Banquet Hall,"Bhiwandi, Mumbai","59,000"
Lords Club Lawn,"Bhiwandi, Mumbai","5,51,000"
Menons Farm House Lawn,"Bhiwandi, Mumbai","1,00,000"
Set in the city,"Bhiwandi, Mumbai","2,50,000"
Map Resort Lawn,"Bhiwandi, Mumbai","1,00,000"
Nature Marriage Lawn,"Bhiwandi, Mumbai","1,25,000"
Ceremony Banquet Hall,"Bhiwandi, Mumbai","60,000"
Naval Farm Lawn,"Bhiwandi, Mumbai","50,000"
