Venue Name,Venue Location,Price per Plate
The ranch resorts,"Bhongir, Hyderabad",25018 - 25018
Jayalaxmi Gardens,"Bhongir, Hyderabad","85,000"
Raavi Badra Reddy Gardens Hall,"Bhongir, Hyderabad","40,000"
GOURI MANOHAR FUNCTION HALL,"Bhongir, Hyderabad","35,000"
MNR Gardens,"Bhongir, Hyderabad","50,000"
Linga Basava Gardens,"Bhongir, Hyderabad","80,000"
AR Gardens,"Bhongir, Hyderabad","45,000"
Srinivasa Mini Hall,"Bhongir, Hyderabad","10,000"
Yadagiri Mini Function Hall,"Bhongir, Hyderabad","10,000"
SSRY Kalyana Mandapam,"Bhongir, Hyderabad","20,000"
