Venue Name,Venue Location,Price per Plate
Tulip by Gardeenia Comfortes,"Bommasandra, Bangalore",454 - 554
A2B Brundavan Party Hall 1,"Bommasandra, Bangalore",283
Vaikuntam Banquet Hall at Hotel The Galaxy,"Bommasandra, Bangalore",413 - 472
Hotel Jade Empire Big Hall,"Bommasandra, Bangalore",531 - 767
SRT Alpines Banquet Hall,"Bommasandra, Bangalore",531 - 649
Eden at Gardeenia Comfortes Suites,"Bommasandra, Bangalore",468 - 568
Online Suites,"Bommasandra, Bangalore",700 - 800
Melange Astris,"Bommasandra, Bangalore",950 - 1200
KR inn Hotel Convention Centre,"Bommasandra, Bangalore",850 - 1000
Shibravyi Courtyard,"Bommasandra, Bangalore",700 - 850
Hotel Fortune City,"Bommasandra, Bangalore","10,620"
Yoga and Convention Centre by GTF in Bommasandra,"Bommasandra, Bangalore",550
Treebo The galaxy party hall,"Bommasandra, Bangalore",800 - 1000
Smt Gangamma Hanumanthareddy Kalyana Mantapa,"Bommasandra, Bangalore","55,018"
ShivaKripa Hall,"Bommasandra, Bangalore","32,018"
The Groves,"Bommasandra, Bangalore","1,00,000"
