Venue Name,Venue Location,Price per Plate
Sai krupa Garden And Banquets Hall,"Borivali, Mumbai",500
"Aaditya Banquet Hall, Mumbai","Borivali, Mumbai",700 - 800
Farm Regency Resort,"Borivali, Mumbai",600 - 800
Jainam Banquet Hall,"Borivali, Mumbai",830
Malad Gymkhana,"Borivali, Mumbai",500 - 650
Ajanta Party Hall,"Borivali, Mumbai",550
Sarovar Annexe Banquet Hall,"Borivali, Mumbai",600
Sai Sargam Banquet Hall,"Borivali, Mumbai",500
Aditya Banquet,"Borivali, Mumbai",400 - 400
BL Gorakshadham Marriage Hall,"Borivali, Mumbai",700 - 950
Sun Beach Resort,"Borivali, Mumbai",800 - 800
Nirala Crystal Banquet,"Borivali, Mumbai",1218 - 1
Hotel Sea N Rock,"Borivali, Mumbai",800 - 800
Royal Banquet Hall,"Borivali, Mumbai",700
Mega Classic By Touch Of Class Banquet Hall,"Borivali, Mumbai",649
Amar Banquet Hall,"Borivali, Mumbai",418 - 568
Don Bosco Hall Courts,"Borivali, Mumbai",700 - 850
Swagat Party Hall,"Borivali, Mumbai",800 - 800
Royale Master Chef Finedine Banquet,"Borivali, Mumbai",550 - 750
Amivadi Banquet Hall,"Borivali, Mumbai",500 - 500
Zaika Oyster Banquet,"Borivali, Mumbai",1200 - 1500
Divine Banquets,"Borivali, Mumbai","1,000"
"Aadhar Banquet Hall,Mumbai","Borivali, Mumbai",550
The Hub Link,"Borivali, Mumbai","1,200"
