Venue Name,Venue Location,Price per Plate
JD Farmhouse And Guest House Open Lawn,"Byatarayanapura, Bangalore",600 - 700
Visthara Hotel Hall,"Byatarayanapura, Bangalore",1000 - 1200
Trisara open lawn,"Byatarayanapura, Bangalore",40000 - 40000
Surabhi Kalyana Mantapa,"Byatarayanapura, Bangalore","63,000"
Shamili Shanaya,"Byatarayanapura, Bangalore","65,018"
Sri Rama Kalyana mantapa,"Byatarayanapura, Bangalore","60,018"
Adams Golden Heritage,"Byatarayanapura, Bangalore","1,00,018"
Crown Palace,"Byatarayanapura, Bangalore","95,018"
La Sara Pride,"Byatarayanapura, Bangalore","50,000"
Temple Tree Farm,"Byatarayanapura, Bangalore","45,000"
