Venue Name,Venue Location,Price per Plate
GVR Convention,"Champapet, Hyderabad","60,000"
KNR Banquet Hall,"Champapet, Hyderabad",295 - 413
Sri Balaji Gardens,"Champapet, Hyderabad","3,18,600"
Bharat Gardens Function Hall,"Champapet, Hyderabad","1,20,000"
APR Gardens,"Champapet, Hyderabad","50,000"
Sama Narsimha Reddy Gardens,"Champapet, Hyderabad",On Request
Bharat Gardens,"Champapet, Hyderabad","1,00,000"
Mega Function Hall,"Champapet, Hyderabad","60,000"
Manda Yadava Reddy Gardens,"Champapet, Hyderabad","1,20,000"
Vijay Convention Hall,"Champapet, Hyderabad","1,20,000"
Hotel Sindhura East Court,"Champapet, Hyderabad","1,20,000"
Rose Wedding Venue,"Champapet, Hyderabad","90,000"
Rama Function Hall,"Champapet, Hyderabad",On Request
Sama Saraswati Gardens,"Champapet, Hyderabad",On Request
Laxma Reddy Gardens,"Champapet, Hyderabad",On Request
