Venue Name,Venue Location,Price per Plate
OS Kashish Function Hall,"Chandrayangutta, Hyderabad","95,000"
President Function Hall,"Chandrayangutta, Hyderabad","1,10,000"
Regal Garden Function Hall,"Chandrayangutta, Hyderabad",On Request
Abood Jaidi Function Hall,"Chandrayangutta, Hyderabad",On Request
Wali Function Hall,"Chandrayangutta, Hyderabad","1,38,000"
Sidra Palace Function Hall,"Chandrayangutta, Hyderabad","1,16,000"
A K Banquet Function Hall,"Chandrayangutta, Hyderabad","80,000"
Funland Resort,"Chandrayangutta, Hyderabad","25,000"
Radon Convention Hall,"Chandrayangutta, Hyderabad","50,000"
Topaz Convention,"Chandrayangutta, Hyderabad","50,000"
Titan Plaza Function Hall,"Chandrayangutta, Hyderabad","45,000"
Omar Gulshan Function Hall,"Chandrayangutta, Hyderabad","1,00,000"
SK Prince Function Hall,"Chandrayangutta, Hyderabad","60,000"
Mezbaan Function Plaza,"Chandrayangutta, Hyderabad","60,000"
Grand Function Hall,"Chandrayangutta, Hyderabad","52,018"
HGN Mini Function Hall,"Chandrayangutta, Hyderabad","25,000"
"Titan Plaza Function Hall, Hyderabad","Chandrayangutta, Hyderabad","45,000"
AMD Function Hall,"Chandrayangutta, Hyderabad","1,00,000"
A.K Banquet Function Hall,"Chandrayangutta, Hyderabad","1,20,000"
S.G Function Hall,"Chandrayangutta, Hyderabad","1,60,000"
NG Convention Hall,"Chandrayangutta, Hyderabad","65,000"
NG Conventions,"Chandrayangutta, Hyderabad","1,00,000"
Mubarak Function Hall,"Chandrayangutta, Hyderabad","70,000"
Anmol Garden Function Hall,"Chandrayangutta, Hyderabad","2,00,000"
