Venue Name,Venue Location,Price per Plate
Shagun Plaza,"Chembur, Mumbai",850 - 1050
Hotel Bahri Residency,"Chembur, Mumbai","10,000"
Sumati Gurjar Bhavan,"Chembur, Mumbai",900 - 900
Diamond Banquet Hall,"Chembur, Mumbai",400
Shagun Plaza Banquet Hall,"Chembur, Mumbai",750 - 1000
Paradise lawns,"Chembur, Mumbai","1,00,000"
Alamu Hall,"Chembur, Mumbai",750
Himachal Mitra Mandal,"Chembur, Mumbai",350
SR Banquets,"Chembur, Mumbai",475 - 590
Bal Vikas Hall,"Chembur, Mumbai",850 - 950
Agri Samaj Hall,"Chembur, Mumbai",600 - 700
Hotel Universal Garden,"Chembur, Mumbai",750 - 950
Hotel Star Parade,"Chembur, Mumbai",1000 - 1200
Hotel Jewel of Chembur,"Chembur, Mumbai",1155 - 1450
The Satya bhama Hotel,"Chembur, Mumbai",550 - 600
Shri Ahobila Math Hall,"Chembur, Mumbai",550
K Bhagat Tarachand Banquet,"Chembur, Mumbai",400
Utopia Banquets Hall,"Chembur, Mumbai",800 - 800
Shagun Party Open Lawn,"Chembur, Mumbai",650 - 750
The Emerald Hotel Banquet Hall,"Chembur, Mumbai",600
Balvikas Sangh Hall,"Chembur, Mumbai",450
Hotel Bahri Residency Hall,"Chembur, Mumbai",350 - 450
N Royale Hall,"Chembur, Mumbai",850 - 1150
N Royale Mini Hall,"Chembur, Mumbai",850 - 1100
